county_id,county,region,,
1,Adams,South,,
2,Allen,Central,,
3,Ashland,Central,,
4,Ashtabula,North,,
5,Athens,South,,
6,Auglaize,South,,
7,Belmont,South,,
8,Brown,South,,
9,Butler,South,,
10,Carroll,South,,
11,Champaign,South,,
12,Clark,South,,
13,Clermont,South,,
14,Clinton,South,,
15,Columbiana,South,,
16,Coshocton,South,,
17,Crawford,Central,,
18,Cuyahoga,North,,
19,Darke,South,,
20,Defiance,Central,,
21,Delaware,Central,,
22,Erie,North,,
23,Fairfield,Central,,
24,Fayette,South,,
25,Franklin,Central,,
26,Fulton,Central,,
27,Gallia,South,,
28,Geauga,North,,
29,Greene,South,,
30,Guernsey,South,,
31,Hamilton,South,,
32,Hancock,Central,,
33,Hardin,Central,,
34,Harrison,South,,
35,Henry,Central,,
36,Highland,South,,
37,Hocking,South,,
38,Holmes,Central,,
39,Huron,Central,,
40,Jackson,South,,
41,Jefferson,South,,
42,Knox,Central,,
43,Lake,North,,
44,Lawrence,South,,
45,Licking,Central,,
46,Logan,Central,,
47,Lorain,North,,
48,Lucas,Central,,
49,Madison,Central,,
50,Mahoning,North,,
51,Marion,Central,,
52,Medina,North,,
53,Meigs,South,,
54,Mercer,South,,
55,Miami,South,,
56,Monroe,South,,
57,Montgomery,South,,
58,Morgan,South,,
59,Morrow,Central,,
60,Muskingum,South,,
61,Noble,South,,
62,Ottawa,Central,,
63,Paulding,Central,,
64,Perry,South,,
65,Pickaway,Central,,
66,Pike,South,,
67,Portage,North,,
68,Preble,South,,
69,Putnam,Central,,
70,Richland,Central,,
71,Ross,South,,
72,Sandusky,Central,,
73,Scioto,South,,
74,Seneca,Central,,
75,Shelby,South,,
76,Stark,North,,
77,Summit,North,,
78,Trumbull,North,,
79,Tuscarawas,South,,
80,Union,Central,,
81,Van,-,,Region
82,Vinton,South,,
83,Warren,South,,
84,Washington,South,,
85,Wayne,Central,,
86,Williams,Central,,
87,Wood,Central,,
88,Wyandot,Central,,
